"Dog.ID","Total.Tests.Completed","Time.diff.between.first.and.last.game..days.","Time.diff.between.first.and.last.game..minutes.","User.ID","Gender","Birthday","Breed","Breed_Type","Breed_Group","Weight","Dog_Fixed","DNA_Tested","Dimension","Sign_in_Count","Max_Dogs","Subscribed","City","State","Country","Exclude","Free_Start_User","Membership_Type"
"fd27b272-7144-11e5-ba71-058fbc01cf0b",21,564.021516203647,812190.983333252,"ce134e42-7144-11e5-ba71-058fbc01cf0b","female",2011,"Labrador Retriever","Pure Breed","Sporting",50,1,0,"charmer",14,2,1,"Grand Forks","ND","US","0","0","2"
"fd27b5ba-7144-11e5-ba71-058fbc01cf0b",20,7.85283564810859,11308.0833332764,"ce1353d8-7144-11e5-ba71-058fbc01cf0b","male",2007,"Shetland Sheepdog","Pure Breed","Herding",20,1,0,"protodog",8,2,1,"Barre","MA","US","0","0","1"
"fd27b6b4-7144-11e5-ba71-058fbc01cf0b",2,0.00913194450660988,13.1500000895182,"ce135ab8-7144-11e5-ba71-058fbc01cf0b","male",2012,"Golden Retriever","Pure Breed","Sporting",70,0,1,"0",3,1,1,"Darien","CT","US","0","0","1"
"fd27b79a-7144-11e5-ba71-058fbc01cf0b",11,561.151793981433,808058.583333264,"ce13507c-7144-11e5-ba71-058fbc01cf0b","male",2011,"Golden Retriever","Pure Breed","Sporting",70,0,0,"0",21,1,1,"Winnetka","IL","US","0","0","1"
"fd27b86c-7144-11e5-ba71-058fbc01cf0b",31,232.027627314908,334119.783333468,"ce135e14-7144-11e5-ba71-058fbc01cf0b","female",2010,"Shih Tzu","Pure Breed","Toy",190,0,0,"einstein",181,13,1,"Raleigh","NC","US","1","0","2"
"fd27b948-7144-11e5-ba71-058fbc01cf0b",20,3.39315972220809,4886.14999997965,"ce13615c-7144-11e5-ba71-058fbc01cf0b","male",2011,"Other","Pure Breed","Working",60,1,0,"stargazer",6,1,1,"Auburn","WA","US","0","0","1"
"fd27ba1a-7144-11e5-ba71-058fbc01cf0b",27,160.955335648148,231775.683333333,"ce135e14-7144-11e5-ba71-058fbc01cf0b","male",1982,"Shih Tzu","Pure Breed","Toy",190,1,0,"maverick",181,13,1,"Raleigh","NC","US","1","0","2"
"fd27bbbe-7144-11e5-ba71-058fbc01cf0b",20,0.153425925875063,220.933333260091,"ce135f2c-7144-11e5-ba71-058fbc01cf0b","male",2012,"Other","Mixed Breed/ Other/ I Don't Know","0",50,1,0,"protodog",6,1,0,"Fort Collins","CO","US","0","0","1"
"fd27c1c2-7144-11e5-ba71-058fbc01cf0b",20,12.9979861110913,18717.0999999715,"ce136a1c-7144-11e5-ba71-058fbc01cf0b","male",2008,"Labrador Retriever","Pure Breed","Sporting",70,1,0,"einstein",13,1,1,"Seattle","WA","US","0","0","1"
"fd27c5be-7144-11e5-ba71-058fbc01cf0b",20,4.24234953709073,6108.98333341065,"ce136ac6-7144-11e5-ba71-058fbc01cf0b","male",2008,"Other","Cross Breed","0",0,1,0,"socialite",4,1,0,"Bainbridge Island","WA","US","0","0","2"
"fd27c74e-7144-11e5-ba71-058fbc01cf0b",14,334.050520833347,481032.75000002,"ce136c24-7144-11e5-ba71-058fbc01cf0b","female",2011,"Other","Cross Breed","0",40,1,0,"0",7,2,1,"Bremerton","WA","US","0","0","2"
"fd27c7d0-7144-11e5-ba71-058fbc01cf0b",20,0.102175925855283,147.133333231608,"ce136e36-7144-11e5-ba71-058fbc01cf0b","male",2011,"Other","Pure Breed","Sporting",60,1,0,"socialite",10,1,0,"Aptos","CA","US","0","0","2"
"fd27c852-7144-11e5-ba71-058fbc01cf0b",20,0.978726851871632,1409.36666669515,"ce136ee0-7144-11e5-ba71-058fbc01cf0b","female",2007,"Other","Pure Breed","Toy",20,1,0,"stargazer",7,1,1,"North Ridgeville","OH","US","0","0","2"
"fd27c8d4-7144-11e5-ba71-058fbc01cf0b",20,3.01277777785407,4338.40000010986,"ce136f94-7144-11e5-ba71-058fbc01cf0b","female",2010,"Boxer","Pure Breed","Working",50,1,0,"ace",27,4,1,"Charlottesville","VA","US","0","0","2"
"fd27c956-7144-11e5-ba71-058fbc01cf0b",11,28.2479976851032,40677.1166665486,"ce134be0-7144-11e5-ba71-058fbc01cf0b","male",2010,"Other","Cross Breed","0",30,1,0,"0",65,3,1,"Hillsborough","NC","US","0","0","2"
"fd27cb72-7144-11e5-ba71-058fbc01cf0b",20,40.158842592618,57828.7333333699,"ce1371a6-7144-11e5-ba71-058fbc01cf0b","male",2005,"Beagle","Pure Breed","Hound",40,1,0,"protodog",7,1,1,"New York","NY","US","0","0","2"
"fd27cd98-7144-11e5-ba71-058fbc01cf0b",20,6.37281249999152,9176.84999998779,"ce136f94-7144-11e5-ba71-058fbc01cf0b","male",2005,"Beagle","Pure Breed","Hound",30,1,1,"expert",27,4,1,"Charlottesville","VA","US","0","0","2"
"fd27ce1a-7144-11e5-ba71-058fbc01cf0b",7,0.0168981482300935,24.3333334513346,"ce136f94-7144-11e5-ba71-058fbc01cf0b","male",2000,"Beagle","Pure Breed","Hound",20,1,1,"0",27,4,1,"Charlottesville","VA","US","0","0","2"
"fd27cea6-7144-11e5-ba71-058fbc01cf0b",2,0.00253472221091942,3.64999998372396,"ce1373ae-7144-11e5-ba71-058fbc01cf0b","male",2000,"Other","Mixed Breed/ Other/ I Don't Know","0",10,1,0,"0",2,1,0,"Los Angeles","CA","US","0","0","1"
"fd27cf28-7144-11e5-ba71-058fbc01cf0b",20,49.0468634258722,70627.483333256,"ce13750c-7144-11e5-ba71-058fbc01cf0b","female",2010,"Other","Pure Breed","Sporting",60,1,0,"charmer",5,1,1,"Worland","WY","US","0","0","1"
"fd27cfaa-7144-11e5-ba71-058fbc01cf0b",7,14.0208564813939,20190.0333332072,"ce1375b6-7144-11e5-ba71-058fbc01cf0b","male",2006,"Border Collie","Pure Breed","Herding",40,1,0,"0",3,1,1,"Grayslake","IL","US","0","0","1"
"fd27d02c-7144-11e5-ba71-058fbc01cf0b",20,3.09591435186881,4458.11666669109,"ce1377b4-7144-11e5-ba71-058fbc01cf0b","male",2013,"Other","Pure Breed","Herding",20,0,0,"stargazer",9,1,1,"Falls Church","VA","US","0","0","2"
"fd27d0b8-7144-11e5-ba71-058fbc01cf0b",21,316.657986111125,455987.50000002,"ce137700-7144-11e5-ba71-058fbc01cf0b","female",2009,"Other","Cross Breed","0",90,1,0,"renaissance-dog",22,2,1,"Everett","WA","US","0","0","2"
"fd27d144-7144-11e5-ba71-058fbc01cf0b",7,147.061064814798,211767.933333309,"ce137868-7144-11e5-ba71-058fbc01cf0b","male",2004,"Poodle","Pure Breed","Non-Sporting",50,1,1,"0",5,2,1,"Dixon","CA","US","0","0","2"
"fd27d1c6-7144-11e5-ba71-058fbc01cf0b",7,146.804791666684,211398.900000025,"ce137868-7144-11e5-ba71-058fbc01cf0b","male",2005,"Poodle","Pure Breed","Non-Sporting",40,1,1,"0",5,2,1,"Dixon","CA","US","0","0","2"
"fd27d248-7144-11e5-ba71-058fbc01cf0b",6,0.0141782407887777,20.4166667358399,"ce137912-7144-11e5-ba71-058fbc01cf0b","male",2008,"Golden Doodle","Popular Hybrid","0",70,1,0,"0",3,1,1,"Altadena","CA","US","0","0","2"
"fd27d2ca-7144-11e5-ba71-058fbc01cf0b",4,0.0094212963019477,13.5666666748047,"ce1379c6-7144-11e5-ba71-058fbc01cf0b","female",2011,"Labrador Retriever","Pure Breed","Sporting",80,1,0,"0",3,1,0,"Los Angeles","CA","US","0","0","1"
"fd27d34c-7144-11e5-ba71-058fbc01cf0b",4,0.0108680555103443,15.6499999348958,"ce137a7a-7144-11e5-ba71-058fbc01cf0b","female",2012,"German Shepherd Dog","Pure Breed","Herding",20,1,0,"0",12,2,0,"Rosenau","A","FR","0","0","2"
"fd27d3d8-7144-11e5-ba71-058fbc01cf0b",4,0.00394675927056207,5.68333334960938,"ce137a7a-7144-11e5-ba71-058fbc01cf0b","male",2012,"German Shepherd Dog","Pure Breed","Herding",30,1,0,"0",12,2,0,"Rosenau","A","FR","0","0","2"
"fd27d45a-7144-11e5-ba71-058fbc01cf0b",28,159.938518518584,230311.466666761,"ce137034-7144-11e5-ba71-058fbc01cf0b","female",2011,"Other","Pure Breed","Sporting",80,1,0,"stargazer",25,2,1,"Sierra Vista","AZ","US","0","0","2"
"fd27d4dc-7144-11e5-ba71-058fbc01cf0b",28,159.947511574139,230324.41666676,"ce137034-7144-11e5-ba71-058fbc01cf0b","female",2011,"Other","Mixed Breed/ Other/ I Don't Know","0",30,1,0,"maverick",25,2,1,"Sierra Vista","AZ","US","0","0","2"
"fd27d770-7144-11e5-ba71-058fbc01cf0b",25,93.3752777776647,134460.399999837,"ce137c78-7144-11e5-ba71-058fbc01cf0b","female",2011,"Other","Pure Breed","Herding",60,1,0,"socialite",15,1,1,"Durham","NC","US","0","0","2"
"fd27d9fa-7144-11e5-ba71-058fbc01cf0b",20,0.259421296299122,373.566666670736,"ce135bd0-7144-11e5-ba71-058fbc01cf0b","female",2006,"Other","Mixed Breed/ Other/ I Don't Know","0",90,1,1,"einstein",11,2,1,"Northbrook","IL","US","0","0","2"
"fd27db08-7144-11e5-ba71-058fbc01cf0b",14,1.90890046290362,2748.81666658121,"ce13807e-7144-11e5-ba71-058fbc01cf0b","male",2011,"German Shepherd Dog","Pure Breed","Herding",80,1,0,"0",1,2,1,"Cincinnati","CO","US","0","0","2"
"fd27db8a-7144-11e5-ba71-058fbc01cf0b",16,1.87728009256434,2703.28333329265,"ce1381c8-7144-11e5-ba71-058fbc01cf0b","female",2008,"Beagle","Pure Breed","Hound",10,1,0,"0",3,1,1,"Charlotte","WA","US","0","0","2"
"fd27dc52-7144-11e5-ba71-058fbc01cf0b",2,0.00145833333898474,2.10000000813803,"ce138268-7144-11e5-ba71-058fbc01cf0b","male",2009,"Other","Pure Breed","0",20,1,1,"0",2,1,1,"Boston","NJ","US","0","0","2"
"fd27dd38-7144-11e5-ba71-058fbc01cf0b",4,0.00619212968896937,8.91666675211589,"ce138312-7144-11e5-ba71-058fbc01cf0b","male",2008,"Other","Cross Breed","0",30,1,0,"0",2,1,1,"Boston","AE","US","0","0","1"
"fd27e026-7144-11e5-ba71-058fbc01cf0b",6,0.0268865739921287,38.7166665486653,"ce135194-7144-11e5-ba71-058fbc01cf0b","male",2013,"Other","Pure Breed","Non-Sporting",20,0,0,"0",6,2,1,"Birdsboro","PA","US","0","0","2"
"fd27e1e8-7144-11e5-ba71-058fbc01cf0b",20,10.8818171296748,15669.8166667317,"ce13851a-7144-11e5-ba71-058fbc01cf0b","female",2000,"Other","Cross Breed","Herding",40,0,0,"charmer",27,2,1,"Rødekro","83","DK","0","0","2"
"fd27e31e-7144-11e5-ba71-058fbc01cf0b",23,47.9450578703534,69040.8833333089,"ce13851a-7144-11e5-ba71-058fbc01cf0b","female",2008,"Other","Pure Breed","Herding",20,0,0,"socialite",27,2,1,"Rødekro","83","DK","0","0","2"
"fd27e454-7144-11e5-ba71-058fbc01cf0b",45,960.560439814815,1383207.03333333,"ce1385c4-7144-11e5-ba71-058fbc01cf0b","female",2012,"Other","Mixed Breed/ Other/ I Don't Know","0",70,1,1,"maverick",27,2,1,"Alexandria","CA","US","0","0","2"
"fd27e580-7144-11e5-ba71-058fbc01cf0b",33,372.020462962915,535709.466666598,"ce1385c4-7144-11e5-ba71-058fbc01cf0b","male",2005,"Labrador Retriever","Pure Breed","Sporting",70,1,0,"stargazer",27,2,1,"Alexandria","CA","US","0","0","2"
"fd27e9a4-7144-11e5-ba71-058fbc01cf0b",22,116.141678240732,167244.016666654,"ce135e14-7144-11e5-ba71-058fbc01cf0b","male",2012,"Shih Tzu","Pure Breed","Toy",190,0,1,"protodog",181,13,1,"Raleigh","NC","US","1","0","2"
"fd27eae4-7144-11e5-ba71-058fbc01cf0b",4,0.0139004630053485,20.0166667277018,"ce138722-7144-11e5-ba71-058fbc01cf0b","female",2011,"Other","Pure Breed","Terrier",10,0,0,"0",2,2,1,"Charlotte","NC","US","0","0","2"
"fd27ed46-7144-11e5-ba71-058fbc01cf0b",25,103.807812499929,149483.249999898,"ce135e14-7144-11e5-ba71-058fbc01cf0b","female",2012,"Shih Tzu","Pure Breed","Toy",190,0,0,"maverick",181,13,1,"Raleigh","NC","US","1","0","2"
"fd27efb2-7144-11e5-ba71-058fbc01cf0b",20,1.00083333335311,1441.20000002848,"ce1389d4-7144-11e5-ba71-058fbc01cf0b","female",2009,"Golden Retriever","Pure Breed","Sporting",80,1,0,"einstein",7,1,0,"Woodinville","CA","US","0","0","1"
"fd27f110-7144-11e5-ba71-058fbc01cf0b",7,472.661331018547,680632.316666708,"ce1387cc-7144-11e5-ba71-058fbc01cf0b","male",2010,"Other","Pure Breed","Working",100,1,0,"0",11,1,1,"Woodinville","WA","US","0","0","2"
"fd27f25a-7144-11e5-ba71-058fbc01cf0b",6,2.9797800926039,4290.88333334962,"ce138a88-7144-11e5-ba71-058fbc01cf0b","male",2009,"Other","Cross Breed","0",0,1,0,"0",4,1,1,"Oakland","IL","US","0","0","1"
"fd27f4c6-7144-11e5-ba71-058fbc01cf0b",4,0.0154861111676251,22.3000000813801,"ce138f92-7144-11e5-ba71-058fbc01cf0b","male",2008,"Shetland Sheepdog","Pure Breed","Herding",10,1,0,"0",3,2,1,"Singapore","1","SG","0","0","1"
"fd27f732-7144-11e5-ba71-058fbc01cf0b",4,0.0168634259626601,24.2833333862305,"ce138f92-7144-11e5-ba71-058fbc01cf0b","female",2010,"Shetland Sheepdog","Pure Breed","Herding",10,1,0,"0",3,2,1,"Singapore","1","SG","0","0","1"
"fd27f868-7144-11e5-ba71-058fbc01cf0b",4,0.0112962962567365,16.2666666097006,"ce1390f0-7144-11e5-ba71-058fbc01cf0b","female",2011,"Other","Mixed Breed/ Other/ I Don't Know","0",20,1,0,"0",1,1,0,"Oakland","DC","US","0","0","1"
"fd27f9a8-7144-11e5-ba71-058fbc01cf0b",3,0.00300925923382794,4.33333329671223,"ce13919a-7144-11e5-ba71-058fbc01cf0b","male",2011,"Other","Cross Breed","0",10,1,0,"0",4,2,0,"Oakland","NY","US","0","0","1"
"fd28010a-7144-11e5-ba71-058fbc01cf0b",2,0.00467592582702637,6.73333319091797,"ce137458-7144-11e5-ba71-058fbc01cf0b","female",2012,"Other","Pure Breed","Non-Sporting",20,0,0,"0",2,1,0,"Durham","NC","US","0","0","1"
"fd280236-7144-11e5-ba71-058fbc01cf0b",2,0.0283333333192048,40.7999999796549,"ce1394f6-7144-11e5-ba71-058fbc01cf0b","female",2001,"Other","Pure Breed","Working",50,1,0,"0",6,1,1,"Test","OH","US","0","0","2"
"fd280344-7144-11e5-ba71-058fbc01cf0b",6,0.0187731481848823,27.0333333862305,"ce13964a-7144-11e5-ba71-058fbc01cf0b","female",2011,"Other","Pure Breed","Working",80,1,0,"0",4,1,1,"Test","FL","US","0","0","1"
