Dog ID,Total Tests Completed,Time diff between first and last game (days),Time diff between first and last game (minutes),User ID,Gender,Birthday,Breed,Breed_Type,Breed_Group,Weight,Dog_Fixed,DNA_Tested,Dimension,Sign_in_Count,Max_Dogs,Membership_ID,Subscribed,City,State,Zip,Country,Exclude,Free_Start_User,Last_Active_At,Membership_Type
fd27b272-7144-11e5-ba71-058fbc01cf0b,21,564.0215162,812190.9833,ce134e42-7144-11e5-ba71-058fbc01cf0b,female,2011,Labrador Retriever,Pure Breed,Sporting,50,1,0,charmer,14,2,2,1,Grand Forks,ND,58201,US,0,0,03/12/2015 12:25:00 AM,2
fd27b5ba-7144-11e5-ba71-058fbc01cf0b,20,7.852835648,11308.08333,ce1353d8-7144-11e5-ba71-058fbc01cf0b,male,2007,Shetland Sheepdog,Pure Breed,Herding,20,1,0,protodog,8,2,1,1,Barre,MA,01005,US,0,0,01/00/1900 12:00:00 AM,1
fd27b6b4-7144-11e5-ba71-058fbc01cf0b,2,0.009131945,13.15000009,ce135ab8-7144-11e5-ba71-058fbc01cf0b,male,2012,Golden Retriever,Pure Breed,Sporting,70,0,1,0,3,1,1,1,Darien,CT,06820,US,0,0,01/00/1900 12:00:00 AM,1
fd27b79a-7144-11e5-ba71-058fbc01cf0b,11,561.151794,808058.5833,ce13507c-7144-11e5-ba71-058fbc01cf0b,male,2011,Golden Retriever,Pure Breed,Sporting,70,0,0,0,21,1,1,1,Winnetka,IL,60093,US,0,0,09/12/2014 07:26:00 PM,1
fd27b86c-7144-11e5-ba71-058fbc01cf0b,31,232.0276273,334119.7833,ce135e14-7144-11e5-ba71-058fbc01cf0b,female,2010,Shih Tzu,Pure Breed,Toy,190,0,0,einstein,181,13,2,1,Raleigh,NC,27606,US,1,0,01/00/1900 12:00:00 AM,2
fd27b948-7144-11e5-ba71-058fbc01cf0b,20,3.393159722,4886.15,ce13615c-7144-11e5-ba71-058fbc01cf0b,male,2011,Siberian Husky,Pure Breed,Working,60,1,0,stargazer,6,1,1,1,Auburn,WA,98001,US,0,0,01/00/1900 12:00:00 AM,1
fd27ba1a-7144-11e5-ba71-058fbc01cf0b,27,160.9553356,231775.6833,ce135e14-7144-11e5-ba71-058fbc01cf0b,male,1982,Shih Tzu,Pure Breed,Toy,190,1,0,maverick,181,13,2,1,Raleigh,NC,27606,US,1,0,01/00/1900 12:00:00 AM,2
fd27bbbe-7144-11e5-ba71-058fbc01cf0b,20,0.153425926,220.9333333,ce135f2c-7144-11e5-ba71-058fbc01cf0b,male,2012,Mixed,Mixed Breed/ Other/ I Don't Know,0,50,1,0,protodog,6,1,1,0,Fort Collins,CO,80525,US,0,0,01/00/1900 12:00:00 AM,1
fd27c1c2-7144-11e5-ba71-058fbc01cf0b,20,12.99798611,18717.1,ce136a1c-7144-11e5-ba71-058fbc01cf0b,male,2008,Labrador Retriever,Pure Breed,Sporting,70,1,0,einstein,13,1,1,1,Seattle,WA,98117,US,0,0,01/00/1900 12:00:00 AM,1
fd27c5be-7144-11e5-ba71-058fbc01cf0b,20,4.242349537,6108.983333,ce136ac6-7144-11e5-ba71-058fbc01cf0b,male,2008,Shih Tzu-Poodle Mix,Cross Breed,0,0,1,0,socialite,4,1,2,0,Bainbridge Island,WA,98110,US,0,0,01/00/1900 12:00:00 AM,2
fd27c74e-7144-11e5-ba71-058fbc01cf0b,14,334.0505208,481032.75,ce136c24-7144-11e5-ba71-058fbc01cf0b,female,2011,German Shepherd Dog-Pembroke Welsh Corgi Mix,Cross Breed,0,40,1,0,0,7,2,2,1,Bremerton,WA,98311,US,0,0,01/00/1900 12:00:00 AM,2
fd27c7d0-7144-11e5-ba71-058fbc01cf0b,20,0.102175926,147.1333332,ce136e36-7144-11e5-ba71-058fbc01cf0b,male,2011,Vizsla,Pure Breed,Sporting,60,1,0,socialite,10,1,2,0,Aptos,CA,95003,US,0,0,01/00/1900 12:00:00 AM,2
fd27c852-7144-11e5-ba71-058fbc01cf0b,20,0.978726852,1409.366667,ce136ee0-7144-11e5-ba71-058fbc01cf0b,female,2007,Pug,Pure Breed,Toy,20,1,0,stargazer,7,1,2,1,North Ridgeville,OH,44039,US,0,0,08/29/2014 12:45:00 PM,2
fd27c8d4-7144-11e5-ba71-058fbc01cf0b,20,3.012777778,4338.4,ce136f94-7144-11e5-ba71-058fbc01cf0b,female,2010,Boxer,Pure Breed,Working,50,1,0,ace,27,4,2,1,Charlottesville,VA,22903,US,0,0,04/13/2014 01:46:00 PM,2
fd27c956-7144-11e5-ba71-058fbc01cf0b,11,28.24799769,40677.11667,ce134be0-7144-11e5-ba71-058fbc01cf0b,male,2010,German Shepherd Dog-Nova Scotia Duck Tolling Retri,Cross Breed,0,30,1,0,0,65,3,2,1,Hillsborough,NC,27278,US,0,0,01/00/1900 12:00:00 AM,2
fd27cb72-7144-11e5-ba71-058fbc01cf0b,20,40.15884259,57828.73333,ce1371a6-7144-11e5-ba71-058fbc01cf0b,male,2005,Beagle,Pure Breed,Hound,40,1,0,protodog,7,1,2,1,New York,NY,10023,US,0,0,01/00/1900 12:00:00 AM,2
fd27cd98-7144-11e5-ba71-058fbc01cf0b,20,6.3728125,9176.85,ce136f94-7144-11e5-ba71-058fbc01cf0b,male,2005,Beagle,Pure Breed,Hound,30,1,1,expert,27,4,2,1,Charlottesville,VA,22903,US,0,0,04/13/2014 01:46:00 PM,2
fd27ce1a-7144-11e5-ba71-058fbc01cf0b,7,0.016898148,24.33333345,ce136f94-7144-11e5-ba71-058fbc01cf0b,male,2000,Beagle,Pure Breed,Hound,20,1,1,0,27,4,2,1,Charlottesville,VA,22903,US,0,0,04/13/2014 01:46:00 PM,2
fd27cea6-7144-11e5-ba71-058fbc01cf0b,2,0.002534722,3.649999984,ce1373ae-7144-11e5-ba71-058fbc01cf0b,male,2000,Mixed,Mixed Breed/ Other/ I Don't Know,0,10,1,0,0,2,1,1,0,Los Angeles,CA,90046,US,0,0,01/00/1900 12:00:00 AM,1
fd27cf28-7144-11e5-ba71-058fbc01cf0b,20,49.04686343,70627.48333,ce13750c-7144-11e5-ba71-058fbc01cf0b,female,2010,Chesapeake Bay Retriever,Pure Breed,Sporting,60,1,0,charmer,5,1,1,1,Worland,WY,82401,US,0,0,01/00/1900 12:00:00 AM,1
fd27cfaa-7144-11e5-ba71-058fbc01cf0b,7,14.02085648,20190.03333,ce1375b6-7144-11e5-ba71-058fbc01cf0b,male,2006,Border Collie,Pure Breed,Herding,40,1,0,0,3,1,1,1,Grayslake,IL,60030,US,0,0,01/00/1900 12:00:00 AM,1
fd27d02c-7144-11e5-ba71-058fbc01cf0b,20,3.095914352,4458.116667,ce1377b4-7144-11e5-ba71-058fbc01cf0b,male,2013,Belgian Malinois,Pure Breed,Herding,20,0,0,stargazer,9,1,2,1,Falls Church,VA,22044,US,0,0,01/00/1900 12:00:00 AM,2
fd27d0b8-7144-11e5-ba71-058fbc01cf0b,21,316.6579861,455987.5,ce137700-7144-11e5-ba71-058fbc01cf0b,female,2009,Australian Shepherd-German Shepherd Dog Mix,Cross Breed,0,90,1,0,renaissance-dog,22,2,2,1,Everett,WA,98203,US,0,0,07/30/2014 09:54:00 PM,2
fd27d144-7144-11e5-ba71-058fbc01cf0b,7,147.0610648,211767.9333,ce137868-7144-11e5-ba71-058fbc01cf0b,male,2004,Poodle,Pure Breed,Non-Sporting,50,1,1,0,5,2,2,1,Dixon,CA,95620,US,0,0,09/20/2014 05:08:00 PM,2
fd27d1c6-7144-11e5-ba71-058fbc01cf0b,7,146.8047917,211398.9,ce137868-7144-11e5-ba71-058fbc01cf0b,male,2005,Poodle,Pure Breed,Non-Sporting,40,1,1,0,5,2,2,1,Dixon,CA,95620,US,0,0,09/20/2014 05:08:00 PM,2
fd27d248-7144-11e5-ba71-058fbc01cf0b,6,0.014178241,20.41666674,ce137912-7144-11e5-ba71-058fbc01cf0b,male,2008,Golden Doodle,Popular Hybrid,0,70,1,0,0,3,1,2,1,Altadena,CA,91001,US,0,0,01/00/1900 12:00:00 AM,2
fd27d2ca-7144-11e5-ba71-058fbc01cf0b,4,0.009421296,13.56666667,ce1379c6-7144-11e5-ba71-058fbc01cf0b,female,2011,Labrador Retriever,Pure Breed,Sporting,80,1,0,0,3,1,1,0,Los Angeles,CA,90045,US,0,0,07/31/2015 03:43:00 AM,1
fd27d34c-7144-11e5-ba71-058fbc01cf0b,4,0.010868056,15.64999993,ce137a7a-7144-11e5-ba71-058fbc01cf0b,female,2012,German Shepherd Dog,Pure Breed,Herding,20,1,0,0,12,2,2,0,Rosenau,A,68128,FR,0,0,05/24/2014 08:29:00 PM,2
fd27d3d8-7144-11e5-ba71-058fbc01cf0b,4,0.003946759,5.68333335,ce137a7a-7144-11e5-ba71-058fbc01cf0b,male,2012,German Shepherd Dog,Pure Breed,Herding,30,1,0,0,12,2,2,0,Rosenau,A,68128,FR,0,0,05/24/2014 08:29:00 PM,2
fd27d45a-7144-11e5-ba71-058fbc01cf0b,28,159.9385185,230311.4667,ce137034-7144-11e5-ba71-058fbc01cf0b,female,2011,Weimaraner,Pure Breed,Sporting,80,1,0,stargazer,25,2,2,1,Sierra Vista,AZ,85635,US,0,0,04/02/2014 03:53:00 PM,2
fd27d4dc-7144-11e5-ba71-058fbc01cf0b,28,159.9475116,230324.4167,ce137034-7144-11e5-ba71-058fbc01cf0b,female,2011,Mixed,Mixed Breed/ Other/ I Don't Know,0,30,1,0,maverick,25,2,2,1,Sierra Vista,AZ,85635,US,0,0,04/02/2014 03:53:00 PM,2
fd27d770-7144-11e5-ba71-058fbc01cf0b,25,93.37527778,134460.4,ce137c78-7144-11e5-ba71-058fbc01cf0b,female,2011,Bouvier des Flandres,Pure Breed,Herding,60,1,0,socialite,15,1,2,1,Durham,NC,27713,US,0,0,01/00/1900 12:00:00 AM,2
fd27d9fa-7144-11e5-ba71-058fbc01cf0b,20,0.259421296,373.5666667,ce135bd0-7144-11e5-ba71-058fbc01cf0b,female,2006,Mixed,Mixed Breed/ Other/ I Don't Know,0,90,1,1,einstein,11,2,2,1,Northbrook,IL,60062,US,0,0,07/01/2015 09:43:00 PM,2
fd27db08-7144-11e5-ba71-058fbc01cf0b,14,1.908900463,2748.816667,ce13807e-7144-11e5-ba71-058fbc01cf0b,male,2011,German Shepherd Dog,Pure Breed,Herding,80,1,0,0,1,2,2,1,Cincinnati,CO,80304,US,0,0,01/00/1900 12:00:00 AM,2
fd27db8a-7144-11e5-ba71-058fbc01cf0b,16,1.877280093,2703.283333,ce1381c8-7144-11e5-ba71-058fbc01cf0b,female,2008,Beagle,Pure Breed,Hound,10,1,0,0,3,1,2,1,Charlotte,WA,98052,US,0,0,01/00/1900 12:00:00 AM,2
fd27dc52-7144-11e5-ba71-058fbc01cf0b,2,0.001458333,2.100000008,ce138268-7144-11e5-ba71-058fbc01cf0b,male,2009,Mudi,Pure Breed,0,20,1,1,0,2,1,2,1,Boston,NJ,07065,US,0,0,10/13/2014 12:03:00 PM,2
fd27dd38-7144-11e5-ba71-058fbc01cf0b,4,0.00619213,8.916666752,ce138312-7144-11e5-ba71-058fbc01cf0b,male,2008,Parson Russell Terrier-Beagle Mix,Cross Breed,0,30,1,0,0,2,1,1,1,Boston,AE,09128,US,0,0,01/00/1900 12:00:00 AM,1
